#large initial condition
#1.γ 	 2.Δ[t=end] 	 3.λ(geometrical mean) 	 3.λ(fit)
0.018	8.497011485508832e-39	0.7189856493525384	0.7111523379449993
0.0181	4.1759840329198695e-40	0.705086945302583	0.7043618289693554
0.0182	2.277352339805731e-41	0.6955487635118398	0.6947871364299342
0.0183	7.656816666862583e-43	0.6901516284822115	0.6856855661638491
0.0184	1.8142687334926416e142	Inf	Inf
0.0185	7.731857063825578e-44	0.6726164494188996	0.6706776188252039
0.0186	1.2435900227578738e102	Inf	Inf
0.0188	1.938292082316984e149	Inf	Inf
0.019	3.895655185573393e-51	0.634336264371111	0.6345355822736299
0.0192	4.9398229000080883e-54	0.6202099497576127	0.6204597723327537
0.0196	6.006954074539712e-59	0.5981453071234608	0.5937493612041702
0.02	1.545137173525413e-63	0.5746019898203731	0.5677213141497123
0.0205	3.050622641047261e-69	0.5410685824268788	0.5372358537818017
0.021	1.5730248048930992e-74	0.5049805229496283	0.5095105519919797
0.022	2.9982279803847998e-86	0.45703601043706843	0.4575364127755552
0.03	0.0	0.20665686450488524	0.2089383383662944

#small initial condition
#1.γ 	 2.Δ[t=end] 	 3.λ(geometrical mean) 	 3.λ(fit)
0.018	2.24700306581349e-43	0.709790571868495	0.7116727744443546
0.0182	8.898291801774561e-46	0.7000969238992634	0.6942385322746066
0.0185	7.077195979789602e-49	0.6699192286372009	0.6722094563631811
0.019	1.803915214361651e-55	0.6361849195779173	0.6355424656707372
0.02	2.385655617794197e-68	0.5639487478221975	0.5676633138724139
